,time,2017-7-1
0,0:0,
1,0:1,
2,0:2,
3,0:3,
4,0:4,
5,0:5,
6,0:6,
7,0:7,
8,0:8,
9,0:9,
10,0:10,
11,0:11,
12,0:12,
13,0:13,
14,0:14,31.825333333333333
15,0:15,31.958666666666666
16,0:16,30.718666666666667
17,0:17,29.452
18,0:18,25.95866666666667
19,0:19,22.16533333333334
20,0:20,18.312000000000005
21,0:21,15.625333333333337
22,0:22,12.95866666666667
23,0:23,10.345333333333338
24,0:24,7.745333333333337
25,0:25,5.454000000000004
26,0:26,5.3286666666666695
27,0:27,5.262000000000003
28,0:28,4.955333333333337
29,0:29,4.862000000000004
30,0:30,4.795333333333336
31,0:31,4.78866666666667
32,0:32,4.723333333333337
33,0:33,4.65666666666667
34,0:34,4.655333333333337
35,0:35,4.655333333333337
36,0:36,4.655333333333337
37,0:37,4.835333333333337
38,0:38,4.653333333333337
39,0:39,4.453333333333337
40,0:40,4.3846666666666705
41,0:41,4.406000000000004
42,0:42,4.406000000000004
43,0:43,4.384000000000003
44,0:44,4.3240000000000025
45,0:45,4.257333333333336
46,0:46,4.4906666666666695
47,0:47,6.00266666666667
48,0:48,7.536000000000003
49,0:49,7.562000000000003
50,0:50,7.49666666666667
51,0:51,7.430000000000003
52,0:52,7.183333333333336
53,0:53,7.418666666666669
54,0:54,7.685333333333336
55,0:55,7.712000000000003
56,0:56,7.646000000000003
57,0:57,7.579333333333336
58,0:58,7.578000000000003
59,0:59,7.572666666666669
60,1:0,7.572666666666669
61,1:1,7.666000000000003
62,1:2,7.752666666666671
63,1:3,7.952666666666672
64,1:4,8.941333333333338
65,1:5,9.40666666666667
66,1:6,9.80666666666667
67,1:7,10.271333333333336
68,1:8,10.070000000000004
69,1:9,9.803333333333338
70,1:10,9.77666666666667
71,1:11,9.77666666666667
72,1:12,9.77666666666667
73,1:13,10.170000000000003
74,1:14,10.184000000000001
75,1:15,10.184000000000001
76,1:16,9.855333333333334
77,1:17,8.322000000000001
78,1:18,6.655333333333334
79,1:19,5.5806666666666676
80,1:20,5.179333333333334
81,1:21,4.846000000000001
82,1:22,4.448000000000001
83,1:23,4.669333333333335
84,1:24,4.936000000000002
85,1:25,5.009333333333334
86,1:26,5.058666666666668
87,1:27,5.125333333333335
88,1:28,4.7986666666666675
89,1:29,4.794666666666668
90,1:30,4.794666666666668
91,1:31,4.730000000000001
92,1:32,4.603333333333334
93,1:33,4.470000000000001
94,1:34,4.458000000000001
95,1:35,4.392666666666668
96,1:36,4.326000000000001
97,1:37,4.259333333333334
98,1:38,3.9993333333333343
99,1:39,3.7326666666666677
100,1:40,3.6593333333333344
101,1:41,3.7413333333333343
102,1:42,3.8080000000000003
103,1:43,3.7433333333333336
104,1:44,3.733333333333334
105,1:45,3.733333333333334
106,1:46,3.733333333333334
107,1:47,3.793333333333334
108,1:48,3.8600000000000003
109,1:49,3.866666666666667
110,1:50,3.866666666666667
111,1:51,3.866666666666667
112,1:52,3.866666666666667
113,1:53,3.866666666666667
114,1:54,3.866666666666667
115,1:55,3.866666666666667
116,1:56,3.866666666666667
117,1:57,3.8666666666666667
118,1:58,3.8666666666666667
119,1:59,3.8666666666666667
120,2:0,3.8666666666666667
121,2:1,3.8666666666666667
122,2:2,3.8666666666666667
123,2:3,3.8666666666666667
124,2:4,3.9846666666666666
125,2:5,3.9866666666666664
126,2:6,3.9866666666666664
127,2:7,3.9866666666666664
128,2:8,3.9866666666666664
129,2:9,3.9866666666666664
130,2:10,3.9866666666666664
131,2:11,3.5933333333333333
132,2:12,3.521333333333333
133,2:13,3.7826666666666666
134,2:14,3.792666666666667
135,2:15,3.792666666666667
136,2:16,3.792666666666667
